sales_id,name,prices,item_sold
0,High-end Lenovo Laptop ThinkPad X1 Carbon 2022 Gen 10 14 Inch 2.2K Led Backlit Screen i7-1260P 16GB LPDDR5 5200Win11 Pro 4G LTE ,8195500,6
1,Gaming Laptop 15.6 Inch AMD R3 2200U 32GB RAM 2TB SSD Fingerprint Unlock  DDR4 Windows 11 Blacklit Keypad Portable Notebook ,639134.271304346.61,3
2,2022 Professional Lenovo Gaming Laptop Legion Y9000P With i7-12700H NVIDIA RTX 3070Ti 8GB GPU 16GB Ram Backlit 15.6 Inch 165Hz ,6228580,4
3,VCHANCE 17.3 Inch 1080p 144Hz Gaming Portable Monitor 100%sRGB HDR Extender Screen for Switch Xbox PS5 Laptop Macbook Raspberry ,324246.72,4
4,Gaming Laptop HP OMEN 9 13th Gen Intel Core i5/i7/i9 RTX4060/RTX4070/RTX4080 2.5K Screen 16 Inch Notebook ,9263728.79,2
5,BYONE 11+11 Inch Dual Screen Laptop Intel Core I3 Gaming Laptop Dual Touch Screen Win11 Office Computer Tablet PC Notebook WiFi6 ,970952.171449183.66,
6,Laptop 11.6 Inch Intel Celeron N4020 360° flips HD Camera Touchscreens 6GB DDR4 2TB SSD 4500 mAH 2.8 GHz Lightweight Tablet ,404906.88843562.82,1
7,VCHANCE 17.3 Inch 1080p 300Hz Portable Gaming Monitor 100%sRGB Metal Frame Extender Screen for Switch Xbox PS5 Laptop Macbook ,341135.34741598.57,6
8,YSJMNPC Dual Screen Laptop 10.9+10.95 Inch Touch Screen Notebook Intel i3 1215U N100 WIFI6 2 in 1 Laptop Tablet Computer ,778261.071389743.72,1
9,15.6inch Gaming Laptop Intel Core I7-9750H 64GB RAM 2TB SSD DDR4 Win 11 5000mAH Camera Fingerprint Unlocking Portable Computer ,823926.391753050.23,3
10,HUAWEI MateBook GT 14 Laptop 2024 Ultra 9-185H/Ultra 7-155/Ultra 5-125 Notebook 14.2-inch 2.8K OLED Touchscreen 140W AI 3D ,2634052.984052389.19,
11,"2022 HUAWEI MateBook D15 15.6"" i5-1155G7/i7-1195G7 8GB/16GB 512GB Laptop Intel Iris Xe Graphics Netbook  Eye-protecting Computer ",1391666.92,
12,Cheap 14.1 Inch Mini Laptop PC Notebook ,401235.29,3
13,Brand New A1989 A2159 A2251 A2289 LCD Display For Macbook Pro  Retina 13 Inch 2018-2020 Laptop Screen Assembly Replacement ,227628.14250140.13,23
14,2023 HUAWEI MateBook 16s Laptop i9-13900H/i7-13700H/i5-13500H 16GB/32GB 1TB Netbook 16-inch 2.5K Touchscreen Computer 135W ,1825286.69,4
15,Adreamer Laptop 13.3 Inch Portable Laptops Low Price With Intel CPU 2.5K FHD IPS 8GB 1T SSD  2.5K FHD Display Notebook ,239833.12,121
16,Oushedi ONEXPLAYER 2 Pro AMD R7-7840U PC Game Console Removable Handle 5 in 1 Laptop Tablet 8.4 Inch 2.5K IPS Screen Windows11 ,1584753.53,
17,For xiaomi Portable SSD E61 1TB Hard Disk 2TB USB 3.1 HD External Hard Drive for Laptop Mobile Hard Disks HDD Storage Device ,14653.6414653.64,1
18,Cheap L10 Dual Screen Laptop 15.6 Inch IPS + 7'' Touch Intel Celeron N5095 Max 16G DDR4 2T SSD Slim Office Notebook PC Computer ,540739.09,15
19,2024 HUAWEI MateBook GT 14 Laptop Ultra 9-185H/Ultra 7-155/Ultra 5-125 Notebook 14.2-inch 2.8K OLED Touchscreen 140W Hi GT Cube ,2647539.324727748.78,
20,Xiaomi laptop Xiaomi Pro 15 15.6 Inch 3.5K OLED Screen Notebook AMD Ryzen R5 5600H 16GB 512GB SSD Office Netbook Computer PC ,1102438.85,
21,FIREBAT A16 16 Inch 100%sRGB Ultra Slim DDR4 16G RAM 1TB 1920*1200 Fingerprint Portable Intel N100 N5095 Notebook Laptop ,567524.4,93
22,Notebook CHUWI GemiBook Plus 15.6inch 2K UHD Display Laptop Windows11 Intel N100 8GB RAM 256GB SSD WIFI6 Ultra Thin Body Laptops ,424526.9589617.05,4
23,USB Type C Dock Displaylink Dual HDMI Adapter Hub Laptop Docking Station For Lenovo ThinkPad HP Dell XPS M1 M2 MacBook ,108459.25159500.82,4
24,14inch Student Cheap Laptop 6GB RAM 64GB/128GB/512GB SSD HD Cam WiFi Bluetooth  Windows 10 Notebook Computer ,258158.251229325,19
25,"16.1 inch HD Laptop Newest for Business and Game  Intel Core i9-10880H 64GB DDR4 RAM, 2TB SSD AC WiFi Bluetooth Windows 11 144hz ",1550588.6,
26,15.6 inches laptop i5 i7  8G+128G all in one notebook pc gaming computer four-core super-thin laptop wholesale ,867083.9,
27,E81 Portable SSD 1TB Original ssd Hard Drive 2TB External SSD Type-C USB 3.1 M.2 for Laptop/Desktop/Phones/mac Flash Memory Disk ,29782.06,52
28,Adreamer LeoBook 13 Laptop 13.3-inch Intel Celeron N4020 8GB RAM 1T SSD Windows 10 Computer Office School Notebook PC ,216049.77372501.87,51
29,"Topton Cheapest Laptop 15.6"" IPS +7"" Touchscreen Anti-Glare Notebook 16GB RAM 1TB SSD Celeron N5095 Processor Windows 11 Pro ",623021.91,2
30,2024 New Ultraslim Dedicated Gaming Laptop 15.6 Inch Intel Core i7-1260+MX550 4Gvideo  NVIDIA   RAM Fingerprint office Notebook ,843365.72,11
31,MSI Pulse 15 Gaming Laptop 15.6 Inch QHD 2.5K 165Hz IPS Screen Notebook i7-13700H 16GB 1TB RTX4060 Gaming Computer Netbook Win11 ,2347882.084119091.37,16
32,"CHUWI CoreBook XPro Laptop Gaming，Intel i5-12450H，16GB RAM 512GB SSD，15.6 inch FHD 1920 * 1080,Windows 11 Laptops,1TB SSD Expand ",698693.782253852.85,3
33,MOKiN 8 in 1 USB C HUB to 4K30Hz HDMI Hub Adapter Docking Station with USB 3.0 RJ45 SD/Micro SD PD3.0 for MacBook Pro/Air Laptop ,14915.3532424.67,21
34,Topton L15 360° YOGA Laptop Intel N95 Dual 10.5 Inch IPS Touch Screen Windows 11 2 in 1 Tablet PC Notebook Office Mini Computer ,880704.821467846.83,14
35,Topton L13 12th Gen Intel N100 2 Screen Laptop Dual 13.5 Inch 2.5K Touch IPS 16G DDR5 Windows 11 Notebook Yoga Tablet PC 2 in 1 ,1021224.862127551.8,2
36,2022 Xiaomi Book Pro 16 Laptop 16 Inch 4K OLED Touchscreen Notebook i5-1240P 16GB 512GB Intel Iris Xe Graphics Netbook Computer ,1529633.93059267.8,1
37,For Xiaomi Hard Disk Mobile SSD E60 1TB 2TB 4TB 8TB 256TB USB 3.1 HD External Hard for Laptop PS5 Mobile Hard Disk HDD Storage ,22704.2224091.53,223
38,CHUWI GemiBook XPro Laptop 8GB RAM 256GB SSD Intel N100 Laptops 14.1 Inch 1920X1080 FHD Display Cooling Fan Windows 11 Notebook ,398543.22632609.98,1
39,16.1 Inch Gaming Laptop Intel i9 10885H i7 Nvidia GTX 1650 4G IPS 1920x1080 144Hz Ultrabook Windows 11 Notebook Computer Laptops ,1629658.782628493.54,3
40,15.6 Inch Laptop Intel Corei9-10885H/i7 10870H Windows10/11 Por 2*DDR4 2*M.2 SSD Ultrabook Computer Fingerprint Unlock WIFI5 BT ,818238.721461142.91,14
41,OneXPlayer 2 Pro AMD R7-8840U 3 in 1 Tablet Laptop PC Game Console Handheld 8.4 Inch 2.5K 32G RAM 2TB SSD Windows 11 Computer ,1633756.53,8
42,12th Gen P8 N100 Mini Gaming Laptop Intel Alder Lake N100 8 Inch Touch Screen 12G DDR5 Windows 11 Notebook Yoga Tablet PC 2 in 1 ,491057.971091247.22,24
43,AUFU 5A Magnetic USB C Cable For Realme Huawei 100W Fast Charging Wire For IPhone Samsung Laptop Micro Magnet Charger USB Cable ,9916.5610621.37,"1,000+"
44,"CHUWI GemiBook Plus Laptop Intel N100 Graphics for 12th Gen 15.6"" 1920*1080P 16GB RAM 512GB SSD With Cooling Fan Windows 11 ",424526.9786161.53,206
45,Gpd win mini 16gb 32gb 64gb memory 512gb 1tb 2tb ssd hard disk cpu and ryzen processor handheld gaming laptop mini pc noteboo ,1176626.49,13
